distance_band,time_of_day,betweenness_tier,recommended_route,confidence,expected_delay_ratio,reasoning_text
Short (<50km),Morning,Low,FTL,0.9981,1.75,For a Short (<50km) corridor (30km) starting at a Low-betweenness source hub (centrality=0.0000) during the Morning shift: FTL is recommended with 99.8% model confidence. Historical delay intensity on this segment type is 1.75x OSRM standard.
Short (<50km),Morning,Medium,FTL,0.9947,1.75,For a Short (<50km) corridor (30km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Morning shift: FTL is recommended with 99.5% model confidence. Historical delay intensity on this segment type is 1.75x OSRM standard.
Short (<50km),Morning,High,FTL,0.9993,1.75,For a Short (<50km) corridor (30km) starting at a High-betweenness source hub (centrality=0.0024) during the Morning shift: FTL is recommended with 99.9% model confidence. Historical delay intensity on this segment type is 1.75x OSRM standard.
Short (<50km),Afternoon,Low,FTL,0.9989,1.73,For a Short (<50km) corridor (30km) starting at a Low-betweenness source hub (centrality=0.0000) during the Afternoon shift: FTL is recommended with 99.9% model confidence. Historical delay intensity on this segment type is 1.73x OSRM standard.
Short (<50km),Afternoon,Medium,FTL,0.9981,1.73,For a Short (<50km) corridor (30km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Afternoon shift: FTL is recommended with 99.8% model confidence. Historical delay intensity on this segment type is 1.73x OSRM standard.
Short (<50km),Afternoon,High,FTL,0.9996,1.73,For a Short (<50km) corridor (30km) starting at a High-betweenness source hub (centrality=0.0024) during the Afternoon shift: FTL is recommended with 100.0% model confidence. Historical delay intensity on this segment type is 1.73x OSRM standard.
Short (<50km),Evening,Low,FTL,0.9895,1.62,For a Short (<50km) corridor (30km) starting at a Low-betweenness source hub (centrality=0.0000) during the Evening shift: FTL is recommended with 98.9% model confidence. Historical delay intensity on this segment type is 1.62x OSRM standard.
Short (<50km),Evening,Medium,FTL,0.9734,1.62,For a Short (<50km) corridor (30km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Evening shift: FTL is recommended with 97.3% model confidence. Historical delay intensity on this segment type is 1.62x OSRM standard.
Short (<50km),Evening,High,FTL,0.9997,1.62,For a Short (<50km) corridor (30km) starting at a High-betweenness source hub (centrality=0.0024) during the Evening shift: FTL is recommended with 100.0% model confidence. Historical delay intensity on this segment type is 1.62x OSRM standard.
Short (<50km),Night,Low,FTL,0.9857,1.71,For a Short (<50km) corridor (30km) starting at a Low-betweenness source hub (centrality=0.0000) during the Night shift: FTL is recommended with 98.6% model confidence. Historical delay intensity on this segment type is 1.71x OSRM standard.
Short (<50km),Night,Medium,FTL,0.9271,1.71,For a Short (<50km) corridor (30km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Night shift: FTL is recommended with 92.7% model confidence. Historical delay intensity on this segment type is 1.71x OSRM standard.
Short (<50km),Night,High,FTL,0.9941,1.71,For a Short (<50km) corridor (30km) starting at a High-betweenness source hub (centrality=0.0024) during the Night shift: FTL is recommended with 99.4% model confidence. Historical delay intensity on this segment type is 1.71x OSRM standard.
Medium (50–200km),Morning,Low,FTL,0.9954,0.9,For a Medium (50–200km) corridor (120km) starting at a Low-betweenness source hub (centrality=0.0000) during the Morning shift: FTL is recommended with 99.5% model confidence. Historical delay intensity on this segment type is 0.90x OSRM standard.
Medium (50–200km),Morning,Medium,FTL,0.9451,0.9,For a Medium (50–200km) corridor (120km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Morning shift: FTL is recommended with 94.5% model confidence. Historical delay intensity on this segment type is 0.90x OSRM standard.
Medium (50–200km),Morning,High,FTL,0.9931,0.9,For a Medium (50–200km) corridor (120km) starting at a High-betweenness source hub (centrality=0.0024) during the Morning shift: FTL is recommended with 99.3% model confidence. Historical delay intensity on this segment type is 0.90x OSRM standard.
Medium (50–200km),Afternoon,Low,FTL,0.9974,0.83,For a Medium (50–200km) corridor (120km) starting at a Low-betweenness source hub (centrality=0.0000) during the Afternoon shift: FTL is recommended with 99.7% model confidence. Historical delay intensity on this segment type is 0.83x OSRM standard.
Medium (50–200km),Afternoon,Medium,FTL,0.977,0.83,For a Medium (50–200km) corridor (120km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Afternoon shift: FTL is recommended with 97.7% model confidence. Historical delay intensity on this segment type is 0.83x OSRM standard.
Medium (50–200km),Afternoon,High,FTL,0.9969,0.83,For a Medium (50–200km) corridor (120km) starting at a High-betweenness source hub (centrality=0.0024) during the Afternoon shift: FTL is recommended with 99.7% model confidence. Historical delay intensity on this segment type is 0.83x OSRM standard.
Medium (50–200km),Evening,Low,FTL,0.9987,0.74,For a Medium (50–200km) corridor (120km) starting at a Low-betweenness source hub (centrality=0.0000) during the Evening shift: FTL is recommended with 99.9% model confidence. Historical delay intensity on this segment type is 0.74x OSRM standard.
Medium (50–200km),Evening,Medium,FTL,0.9821,0.74,For a Medium (50–200km) corridor (120km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Evening shift: FTL is recommended with 98.2% model confidence. Historical delay intensity on this segment type is 0.74x OSRM standard.
Medium (50–200km),Evening,High,FTL,0.9964,0.74,For a Medium (50–200km) corridor (120km) starting at a High-betweenness source hub (centrality=0.0024) during the Evening shift: FTL is recommended with 99.6% model confidence. Historical delay intensity on this segment type is 0.74x OSRM standard.
Medium (50–200km),Night,Low,FTL,0.9763,1.0,For a Medium (50–200km) corridor (120km) starting at a Low-betweenness source hub (centrality=0.0000) during the Night shift: FTL is recommended with 97.6% model confidence. Historical delay intensity on this segment type is 1.00x OSRM standard.
Medium (50–200km),Night,Medium,Carting,0.7213,1.0,For a Medium (50–200km) corridor (120km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Night shift: Carting is recommended with 72.1% model confidence. Historical delay intensity on this segment type is 1.00x OSRM standard.
Medium (50–200km),Night,High,FTL,0.989,1.0,For a Medium (50–200km) corridor (120km) starting at a High-betweenness source hub (centrality=0.0024) during the Night shift: FTL is recommended with 98.9% model confidence. Historical delay intensity on this segment type is 1.00x OSRM standard.
Long (>200km),Morning,Low,FTL,0.9764,1.93,For a Long (>200km) corridor (350km) starting at a Low-betweenness source hub (centrality=0.0000) during the Morning shift: FTL is recommended with 97.6% model confidence. Historical delay intensity on this segment type is 1.93x OSRM standard.
Long (>200km),Morning,Medium,FTL,0.8002,1.93,For a Long (>200km) corridor (350km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Morning shift: FTL is recommended with 80.0% model confidence. Historical delay intensity on this segment type is 1.93x OSRM standard.
Long (>200km),Morning,High,FTL,0.9923,1.93,For a Long (>200km) corridor (350km) starting at a High-betweenness source hub (centrality=0.0024) during the Morning shift: FTL is recommended with 99.2% model confidence. Historical delay intensity on this segment type is 1.93x OSRM standard.
Long (>200km),Afternoon,Low,FTL,0.9982,0.36,For a Long (>200km) corridor (350km) starting at a Low-betweenness source hub (centrality=0.0000) during the Afternoon shift: FTL is recommended with 99.8% model confidence. Historical delay intensity on this segment type is 0.36x OSRM standard.
Long (>200km),Afternoon,Medium,FTL,0.9837,0.36,For a Long (>200km) corridor (350km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Afternoon shift: FTL is recommended with 98.4% model confidence. Historical delay intensity on this segment type is 0.36x OSRM standard.
Long (>200km),Afternoon,High,FTL,0.9978,0.36,For a Long (>200km) corridor (350km) starting at a High-betweenness source hub (centrality=0.0024) during the Afternoon shift: FTL is recommended with 99.8% model confidence. Historical delay intensity on this segment type is 0.36x OSRM standard.
Long (>200km),Evening,Low,FTL,0.9991,0.27,For a Long (>200km) corridor (350km) starting at a Low-betweenness source hub (centrality=0.0000) during the Evening shift: FTL is recommended with 99.9% model confidence. Historical delay intensity on this segment type is 0.27x OSRM standard.
Long (>200km),Evening,Medium,FTL,0.9873,0.27,For a Long (>200km) corridor (350km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Evening shift: FTL is recommended with 98.7% model confidence. Historical delay intensity on this segment type is 0.27x OSRM standard.
Long (>200km),Evening,High,FTL,0.9974,0.27,For a Long (>200km) corridor (350km) starting at a High-betweenness source hub (centrality=0.0024) during the Evening shift: FTL is recommended with 99.7% model confidence. Historical delay intensity on this segment type is 0.27x OSRM standard.
Long (>200km),Night,Low,FTL,0.983,2.37,For a Long (>200km) corridor (350km) starting at a Low-betweenness source hub (centrality=0.0000) during the Night shift: FTL is recommended with 98.3% model confidence. Historical delay intensity on this segment type is 2.37x OSRM standard.
Long (>200km),Night,Medium,FTL,0.8982,2.37,For a Long (>200km) corridor (350km) starting at a Medium-betweenness source hub (centrality=0.0000) during the Night shift: FTL is recommended with 89.8% model confidence. Historical delay intensity on this segment type is 2.37x OSRM standard.
Long (>200km),Night,High,FTL,0.998,2.37,For a Long (>200km) corridor (350km) starting at a High-betweenness source hub (centrality=0.0024) during the Night shift: FTL is recommended with 99.8% model confidence. Historical delay intensity on this segment type is 2.37x OSRM standard.
