source,destination,delay_ratio,fix,priority,estimated_time_saved_pct,reasoning
IND212402AAA,IND211002AAB,4.285714285714286,Route audit — check for infrastructure constraints on this corridor,P3,30,Corridor shows 4.3x OSRM delay on 65 trips. Peak delay: Morning. Route type: Carting over 10km avg.
IND462001AAA,IND462022AAA,4.0,Route audit — check for infrastructure constraints on this corridor,P3,30,Corridor shows 4.0x OSRM delay on 56 trips. Peak delay: Morning. Route type: Carting over 8km avg.
IND712311AAA,IND700065AAA,3.4375,Route audit — check for infrastructure constraints on this corridor,P3,30,Corridor shows 3.4x OSRM delay on 58 trips. Peak delay: Afternoon. Route type: Carting over 11km avg.
IND851127AAA,IND842001AAA,3.414285714285714,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,30,Corridor shows 3.4x OSRM delay on 80 trips. Peak delay: Night. Route type: FTL over 22km avg.
IND785690AAB,IND785682AAA,3.380952380952381,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,30,Corridor shows 3.4x OSRM delay on 70 trips. Peak delay: Night. Route type: Carting over 12km avg.
IND421302AAR,IND421004AAA,3.2222222222222223,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,30,Corridor shows 3.2x OSRM delay on 53 trips. Peak delay: Night. Route type: Carting over 7km avg.
IND712310AAE,IND712124AAA,3.1416666666666666,Route audit — check for infrastructure constraints on this corridor,P3,30,Corridor shows 3.1x OSRM delay on 60 trips. Peak delay: Morning. Route type: Carting over 10km avg.
IND401104AAA,IND400072AAB,3.0,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,30,Corridor shows 3.0x OSRM delay on 59 trips. Peak delay: Night. Route type: Carting over 11km avg.
IND852111AAA,IND854326AAB,2.9265873015873014,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,28.898809523809522,Corridor shows 2.9x OSRM delay on 84 trips. Peak delay: Night. Route type: FTL over 28km avg.
IND792130AAB,IND786001AAB,2.9,Route audit — check for infrastructure constraints on this corridor,P3,28.5,Corridor shows 2.9x OSRM delay on 86 trips. Peak delay: Morning. Route type: Carting over 12km avg.
IND852139AAB,IND854326AAB,2.80625,Route audit — check for infrastructure constraints on this corridor,P3,27.09375,Corridor shows 2.8x OSRM delay on 84 trips. Peak delay: Afternoon. Route type: FTL over 27km avg.
IND400072AAB,IND400015AAA,2.7823529411764705,Route audit — check for infrastructure constraints on this corridor,P3,26.735294117647058,Corridor shows 2.8x OSRM delay on 118 trips. Peak delay: Morning. Route type: Carting over 10km avg.
IND742303AAB,IND741165AAB,2.7817460317460316,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,26.726190476190474,Corridor shows 2.8x OSRM delay on 72 trips. Peak delay: Evening. Route type: Carting over 13km avg.
IND271210AAA,IND271001AAA,2.75,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,26.25,Corridor shows 2.8x OSRM delay on 72 trips. Peak delay: Night. Route type: Carting over 11km avg.
IND380006AAB,IND382430AAB,2.732142857142857,Schedule shift — move volume to Morning/Afternoon to avoid peak congestion,P2,25.982142857142858,Corridor shows 2.7x OSRM delay on 54 trips. Peak delay: Night. Route type: Carting over 9km avg.
IND834002AAB,IND827013AAA,2.7083333333333335,Route audit — check for infrastructure constraints on this corridor,P3,25.625000000000004,Corridor shows 2.7x OSRM delay on 169 trips. Peak delay: Afternoon. Route type: Carting over 14km avg.
